participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
richardson165,9.673,11.388,0.3112,977,304,98
richardson166,9.767,11.317,0.3799,616,234,60
richardson167,10.343,12.543,0.3555,751,267,70
richardson168,10.649,12.757,0.4433,406,180,37
richardson169,8.818,10.409,0.3951,615,243,66
richardson17,9.987,11.733,0.2269,3164,718,300
richardson170,8.49,10.184,0.4167,456,190,49
richardson171,9.809,11.17,0.38,500,190,47
richardson172,12.648,14.887,0.3144,932,293,71
richardson173,9.453,11.0,0.2894,940,272,95
richardson174,9.461,11.368,0.3579,774,277,76
richardson175,12.0,14.085,0.3952,587,232,47
richardson176,7.12,8.62,0.4213,375,158,50
richardson177,6.324,7.676,0.5773,291,168,37
richardson178,8.984,10.629,0.3786,560,212,62
richardson179,10.629,12.593,0.2854,1594,455,140
richardson18,9.628,11.69,0.2915,1132,330,113
richardson184,8.109,9.359,0.3708,658,244,64
richardson185,9.268,10.972,0.3353,668,224,71
richardson186,10.829,12.743,0.3303,781,258,70
richardson188,10.774,13.032,0.337,718,242,62
richardson189,9.768,11.391,0.3476,702,244,69
richardson19,11.231,13.259,0.2825,1756,496,147
richardson191,9.861,12.0,0.4347,398,173,36
richardson192,12.043,14.0,0.3807,570,217,46
richardson194,12.708,15.108,0.3413,838,286,65
richardson195,10.022,11.674,0.3311,912,302,89
richardson196,9.5,11.257,0.2861,1426,408,140
richardson197,8.824,10.441,0.4824,313,151,34
richardson198,11.397,13.5,0.3845,684,263,58
richardson199,7.343,8.925,0.4205,516,217,67
richardson20,7.732,9.191,0.2249,2521,567,314
richardson200,8.648,9.889,0.3727,534,199,54
richardson201,9.636,11.288,0.3571,672,240,66
richardson202,9.011,10.811,0.3539,924,327,95
richardson203,10.743,12.495,0.2848,1141,325,101
richardson204,10.357,12.304,0.3607,646,233,56
richardson205,9.569,11.405,0.2857,1127,322,116
richardson206,7.378,8.583,0.3039,1066,324,127
richardson21,9.068,10.583,0.17,7614,1294,702
richardson22,8.513,10.056,0.2029,3179,645,341
richardson23,8.484,9.982,0.227,2599,590,281
richardson24,12.857,15.384,0.2842,1548,440,112
richardson25,9.76,11.36,0.2832,1289,365,125
richardson34,10.382,12.074,0.3629,722,262,68
richardson35,12.381,15.095,0.4559,272,124,21
richardson36,8.871,10.484,0.3664,696,255,62
richardson37,7.487,8.803,0.3879,593,230,76
richardson38,11.132,13.434,0.3936,625,246,53
richardson39,13.419,15.8,0.2993,1520,455,105
richardson41,8.736,10.516,0.3694,831,307,91
richardson42,6.225,7.648,0.4904,471,231,71
richardson54,9.348,10.812,0.2979,725,216,69
