session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
2364_NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015612352,0.0,0.3148148,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22076876,0.07984951
2399_T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053970877,0.0,0.34444445,0.34214288,0.7233,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.1317,0.0,0.0,0.0,0.0,0.34931725,0.017138705
2399_T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07245745,0.0,0.37148148,0.37557143,0.7488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.1379,0.0,0.0,0.0,0.0,0.31889108,0.013999649
2407_T3,0.0007830473,0.0,0.09615925,0.1,0.6964,0.09947504,0.3182,0.22113423,0.1905,0.6705,0.0014351432,0.2,0.25277892,0.0,0.881,0.0,0.0,0.0,0.0,0.0,0.016205233,0.0,0.14074074,0.019285716,0.3321,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.12365,0.055386778,0.15275575,0.1579455,0.0,0.133999,0.028913861
2416_T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018612238,0.0,0.18851852,0.126,0.8167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0784,0.0,0.0,0.0,0.0,0.1637608,0.027956601
2416_T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025706736,0.0,0.20925927,0.19800001,0.7227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0446,0.0,0.0,0.0,0.0,0.19651555,0.023145102
2420_T3,0.0027647119,0.7,0.1917578,0.1282,0.5412,0.13563278,0.5909,0.29008567,0.0938,0.572,0.002202823,0.8,0.20584601,0.0,0.873,0.35031155,0.8,0.38110167,0.30553472,0.7069,0.030253656,0.0,0.23074074,0.21157144,0.7787,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.21806,0.15913278,0.27496034,0.112121455,0.45836747,0.2567422,0.018921804
2420_T4,0.0036675653,0.8,0.21390526,0.3333,0.7186,0.10155904,0.4545,0.3015096,0.075,0.5329,0.0018076578,0.6,0.33511734,0.0,0.3993,0.27373973,0.6,0.29691,0.4124794,0.6419,0.026698252,0.0,0.32074073,0.528,0.6637,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.29264,0.18833861,0.26821226,0.20103377,0.35496,0.31474996,0.017449819
2427_NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13194035,0.0,0.36444446,0.47400004,0.7651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0841,0.0,0.0,0.0,0.0,0.38349107,0.005153834
2432_T2,0.008623022,0.6,0.33978134,0.4151,0.5627,0.4545014,0.2273,0.4018768,0.3962,0.5502,0.0056812735,0.4,0.34252778,0.3793,0.6597,0.50501245,0.4,0.36453202,0.2755362,0.5812,0.033780728,0.0,0.33666667,0.43471432,0.5684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.344,0.38963675,0.27308044,0.2976376,0.4253065,0.4224123,0.011419301
2432_T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090002164,0.0,0.37074074,0.38814285,0.6327,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.2572,0.0,0.0,0.0,0.0,0.43373907,0.010323437
2432_T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06535232,0.0,0.25555557,0.29185715,0.7059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0796,0.0,0.0,0.0,0.0,0.28465918,0.017202575
2434_T3,0.00073608354,0.1,0.19624336,0.0,1.0,0.034752212,0.0,0.15136679,0.0,1.0,0.0010126818,0.0,0.13709344,0.0,1.0,0.052913863,0.0,0.1567398,0.0,1.0,0.024460986,0.0,0.18962963,0.126,0.9167,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.06764,0.13974805,0.075353704,0.04648556,0.07446961,0.16110972,0.024411663
